Description,Ticker,Field ID,Field Mnemonic,Data State,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22,Dec-21,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Feb-21,Jan-21,Dec-20,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16
    Airbus,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        A220-100,PCFSA221 Index,PR005,PX_LAST,Dynamic,,12.9,8.2,8.2,9.84,11.67,11.67,15,13.33,11.48,13.11,13.1,13.11,11.48,10,10,10,10,11.67,8.33,8.333333333,12.07,10.53,7.27,7.272727273,9.09,10.91,12.73,12.73,12.73,21.82,27.27,27.27,29.63,35.09,30.36,32.14,30.36,16.33,14.04,14.04,20.97,26.87,25.76,14.29,14.55,14.81,14.81,15.09,15.69,16.67,17.39,18.18,21.05,22.22,23.53,25.81,27.59,27.59,30.77,30.77,30.77,30.77,30.77,30.77,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,19.05,20,21.05,22.22,22.22,22.22,
        A220-300,PCFSA223 Index,PR005,PX_LAST,Dynamic,,17.43,8.97,11.3,14.8,15.74,20.75,18.66,19.7,18.69,18.46,17.1,17.84,15.64,14.29,14.62,12.87,13.86,12.5,16.03,11.84210526,12.75,12.33,11.64,7.913669065,8.33,8.46,6.35,10.74,10.26,18.75,15.74,18.1,17.65,16.83,15.15,13.98,10,10.59,14.74,21,33.9,41.54,40.63,9.64,8.86,8.97,5.88,4.69,4.84,5.17,1.82,1.82,1.82,1.89,1.92,2,2.04,2.04,2.27,2.38,2.44,2.63,2.86,3.03,3.33,3.7,4,4.76,5,5,5.88,6.67,7.14,7.14,8.33,10,0,0,0,0,0,0,
        A320 Classic,PCFS320C Index,PR005,PX_LAST,Dynamic,,15.02,14.94,15.32,16.97,17.53,21.34,23.06,22,22.2,21.49,20.48,22.87,20.74,19.39,18.23,20.77,20.95,23.73,25.24,25.55555556,27.74,29.11,29.34,28.73,29.84,30.15,31.29,31.67,34.01,35.84,39.36,42.4,48.17,47.72,42.61,45.25,42.06,40.61,40.23,41.55,50.95,66.86,64.64,52.78,6.12,6.07,6.56,6.89,6.98,7.06,6.06,6.04,5.62,6.13,6.66,5.4,4.73,4.71,4.83,5.33,4.67,4,6.01,3.7,4.35,4.47,4.7,4.43,4.58,3.99,5.1,4.5,4.1,3.7,4.4,6.2,7,6.7,7,7.6,11.83,11.15,11.79
        A320NG,PCFS320N Index,PR005,PX_LAST,Dynamic,,9.36,7.45,7.72,8.05,9.32,11.35,12.03,12.46,12.62,12.78,12.79,15.28,14.43,13.01,12.72,13.2,14.15,15.31,17.4,17.88208357,14.07,17.44,17.82,18.09,18.45,19.81,19.73,20.3,21.57,23.52,25.62,27.43,29.56,29.16,26.31,29.74,24.98,25.27,25.77,27.3633,36.05,55,72.46,55.24,4.74,3.12,3.03,3.17,3.18,2.95,2.56,2.59,2.93,3.32,3.7,3.24,3.19,2.84,2.7,2.58,2.1,1.55,1.61,1.64,1.7,2.23,2.83,3.24,3.61,3.35,3.13,3,2.7,1.4,1.5,1.6,1.7,1.8,2.1,2.4,1.77,1.64,1.4
        A330,PCFSA330 Index,PR005,PX_LAST,Dynamic,,17.34,17.34,17.54,17.98,19.72,22.54,23.74,25.07,25.88,26.34,27.2,31.5,30.01,27.58,26.13,27.36,28.67,29.53,31.96,30.2407932,28.92,29.77,29.41,29.67,31.72,32.86,32.76,34.51,36.47,38.12,39.19,41.31,41.37,39.21,37.95,41.48,41.48,42.16,43.24,42.64,44.55,53.36,65,69.09,16.74,8.91,7.84,7.38,7.23,6.89,5.55,5.07,5.51,6.24,6.69,6.41,5.34,5.2,5.42,5.02,4.89,4.82,4.53,5.05,4.71,5.23,5.39,5.77,5.95,6.17,5.29,5.5,5.5,4.8,3.9,4.3,4.8,5.1,5.8,6.4,6.76,6.79,6.79
        A340,PCFSA340 Index,PR005,PX_LAST,Dynamic,,50.3,50,51.74,52.33,55.75,59.2,60.92,59.77,62.22,62.57,61.45,62.01,60.69,58.05,56.25,56.74,58.99,58.33,61.88,57.06214689,61.11,59.44,57.78,57.22222222,56.11,58.15,59.24,58.29,58.29,62.03,63.1,63.64,65.43,66.49,63.73,63.13,61.5,65,62.69,61.5,59.8,63.68,71.1,69.95,34.27,33.33,31.96,30.59,33.19,31,30.43,30.57,30.13,29.69,31.62,30.25,30.71,28.98,28.16,28.86,27.76,28.05,25.91,25.2,25.51,25.2,25.5,27.78,28.35,28.35,29.28,30.8,30.9,30.5,30.1,28.3,27.7,28.3,28.2,28.8,27.43,27.34,26.9
        A350,PCFSA350 Index,PR005,PX_LAST,Dynamic,,4.59,4.29,5.23,5.61,6.61,9.67,10.13,11.15,12.9,13.64,15.78,16.09,16.21,15.75,13.72,14.83,16.77,17.45,20.78,19.375,17.65,17.06,17.42,16.70378619,16.78,17.71,16.44,17.19,18.18,17.95,19.01,16.67,18.69,18.54,18.34,17.71,22.34,24.61,21.66,21.45,24.73,36.04,47.54,59.62,7.182320442,4.815864023,4.843304843,5.373134328,4.938271605,3.481012658,2.631578947,2.675585284,2.397260274,2.473498233,1.851851852,1.526717557,1.57480315,1.632653061,2.916666667,1.754385965,1.843317972,2.403846154,2.02020202,2.590673575,2.673796791,2.234636872,2.325581395,2.43902439,2.51572327,3.311258278,3.401360544,2.898550725,3.149606299,3.361344538,4.464285714,5.714285714,4.04040404,3.296703297,3.488372093,3.658536585,4,4.285714286,
        A380,PCFSA380 Index,PR005,PX_LAST,Dynamic,,33.48,33.91,34.19,35.04,38.3,40.85,43.22,44.49,44.12,44.54,45.38,47.06,47.5,49.79,47.72,50.62,54.36,58.44,60.49,59.67078189,62.55,65.43,66.26,70.53941909,76.76,80.66,83.13,84.77,86.01,87.19,87.97,90.04,90.87,89.67,90.57,91.23,93.33,91.67,92.5,92.92,97.51,97.08,97.9,92.5,5.39,2.49,1.66,1.67,1.68,2.51,2.1,0.84,1.27,3.39,4.7,0.85,0.86,0.86,0.86,0.87,0.87,0.87,1.32,2.17,3.49,3.96,3.52,1.79,1.79,2.24,1.79,1.8,0.9,0.9,0.5,1.4,1.4,1.4,1.4,1.4,0.95,0.95,1.42
    Bombardier,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        CRJ100/200,PCFSC100 Index,PR005,PX_LAST,Dynamic,,49.58,49.08,48.16,49.01,50.98,52.09,53.2,51.45,51.56,52.2,50.13,49.67,47.49,44.2,43.21,43.35,42.03,39.74,40.34,37.69633508,37.16,36.93,36.62,36.82170543,37.34,37.21,37.6,37.42,39.21,39.62,40.7,41.28,41.44,42.16,42.36,41.95,43,44.5,47,50.99,52.04,53.64,48.95,42.72,29.71,30.4,30.3,28.69,28.69,29.16,28.62,28.54,28.66,27.76,27.43,27.52,27.32,27.2,26.25,26.37,27.22,26.6,26.47,27.58,27.69,27.74,27.06,27.66,29.78,29.99,28.16,28.3,28.6,28.2,29.1,29.7,30.1,31.7,32.5,32.3,30.82,30.2,29.71
        CRJ900,PCFSC900 Index,PR005,PX_LAST,Dynamic,,14.2,14.81,15.23,15.43,17.04,18.28,18.89,16.22,14.99,15.4,14.99,20.04,20.29,18.44,15.78,16.19,16.39,16.16,17.62,17.79141104,16.77,14.11,14.52,13.67346939,13.06,13.67,16.06,17.48,18.09,21.54,21.95,22.97,24.59,20.45,17.83,17.36,19.25,20.17,21.09,27.31,38.45,50.21,51.68,34.87,3.8,4.24,3.4,4.07,4.07,4.31,2.81,2.83,3.48,3.73,3.97,4.01,4.24,4.7,4.71,4.95,4.75,3.63,3.19,3.42,3.42,3.42,3.66,3.66,2.53,3.35,3.59,3.8,3.9,3.6,3.4,2.7,2.7,2.9,3.4,4.2,5.2,3.02,0.76
    Embraer,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        ERJ-135,PCFSE135 Index,PR005,PX_LAST,Dynamic,,11.14,10.87,10.6,12.7,15.45,18.97,20.6,22.37,22.64,22.64,22.31,22.85,17.2,11.02,10.48,11.56,12.9,10.48,11.56,6.720430108,8.33,8.06,7.8,7.795698925,8.33,8.38,8.63,9.14,8.33,9.12,9.12,9.38,8.85,8.31,8.58,8.04,8.04,8.04,8.85,9.65,11.8,13.98,13.17,16.04,5.61,5.35,6.15,5.91,5.66,6.2,6.7,6.7,6.7,7.24,7.8,10.4,10.64,10.11,10.64,11.49,11.49,11.26,10.5,10.24,12.11,12.14,12.4,11.87,11.878,13.58,13.05,12.8,15.8,15.3,14.6,14.9,14.9,14.9,14.9,14.7,14.73,14.21,13.95
        ERJ-145,PCFSE145 Index,PR005,PX_LAST,Dynamic,,37.36,38.73,39.16,39.45,40.69,42.16,41.26,40.65,39.93,39.68,40.39,42.11,40.07,39.61,39.25,38.37,38.54,37.23,38.48,37.03703704,36.32,36.38,37.43,36.73110721,35.68,37.08,36.38,36.49,37.54,39.51,39.83,42.05,43.43,43.64,44.96,46.67,48.21,50.42,47.14,48.74,49.41,53.63,58.96,50,19.63,19.44,20.1,21.04,20.94,21.59,22.2,22.33,22.29,22.62,23.99,24.12,23.43,21.99,22.56,23.04,23.32,23.84,24.72,25.16,25.79,27.01,27.17,26.97,27.13,27.8,28.44,28.9,28.5,28.6,28.5,24.9,26.6,28.7,27.7,26.8,24.92,24.3,24.53
        E-Jet 170,PCFSE170 Index,PR005,PX_LAST,Dynamic,,14.29,14.29,15.43,17.28,18.4,20.25,22.09,20.25,19.63,21.34,23.78,25.61,24.29,20.12,21.95,21.34,18.29,21.34,19.51,19.51219512,18.9,19.51,19.75,20.12195122,19.51,18.9,19.51,21.34,20.73,21.34,21.34,23.17,21.34,21.34,20.73,23.78,33.54,35.98,35.37,40.61,55.76,65.45,66.27,42.51,10.06,11.7,9.88,6.36,8.05,8.62,7.47,7.43,6.86,7.43,10.11,10.11,10.11,10.05,10.44,11.96,10.33,9.73,11.29,11.76,11.23,10.7,11.64,12.7,13.23,15.18,15.18,16.8,17.3,18.3,18.8,19.9,19.9,21.5,19.9,21.5,20.42,20.94,20.42
        E-Jet 190,PCFSE190 Index,PR005,PX_LAST,Dynamic,,15.58,15.7,16.37,16.75,19.44,22.26,22.61,22.26,22.53,23.01,23.01,27.83,27.26,24.26,21.93,23.66,24.39,26.38,27.29,26.55172414,27.19,28.06,28.23,26.33390706,26.68,26.16,27.84,29.04,32.47,33.62,33.79,36.77,39.24,39.83,36.79,39.03,41.7,44.64,44.71,50.26,54.86,62.96,64.5,56.6,12.67,12.03,11.34,10.88,10.54,10.36,8.13,8.49,8.16,6.79,7.84,7.49,7.68,7.29,6.6,6.32,6.33,6.15,5.62,6.3,6.48,7.03,7.57,7.42,7.61,6.93,6.39,7,7.3,7.9,8.1,8.1,8.3,8.3,8.1,7.8,7.4,7.22,6.49
        E-Jet 195,PCFSE195 Index,PR005,PX_LAST,Dynamic,,6.56,7.85,9.21,11.11,12.88,15.28,18.94,16.81,16.44,19.2,20.36,19.81,18.96,18.1,19.62,20.1,20.1,20.67,19.71,19.90291262,20.49,19.12,19.12,18.31683168,15,11,12.56,13.64,19.8,21.24,21.99,23.16,26.2,22.16,21.74,20.44,22.22,27.37,33.52,31.84,51.4,74.86,78.77,73.18,8.94,7.87,6.18,4.6,4.68,3.51,2.94,2.35,4.12,4.12,5.29,4.76,4.76,5.36,4.76,5.42,6.06,6.06,6.06,6.06,7.27,9.15,7.36,5.52,5.52,4.29,4.29,5,4.4,5.1,4.5,5.1,6.4,7,7,4.5,2.58,1.95,1.31
    Source: Cirium (formerly Ascend),,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Jet Activity,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Trends (Flights - actual),AEROBMTA Index,PR005,PX_LAST,Dynamic,,,424906,422236,413462,428102,446806,432482,450536,396146,410146,427326,437452,467328,445926,443560,432792,450206,473042,476016,492664,415990,407152,459058,477342,496238,449154,448138,456088,438584,421562,402464,411182,313862,325856,328914,311496,346864,316022,318026,307218,280714,192926,97742,278300,359568,363402,375576,368566,401880,373362,384038,370078,369474,392716,389114,394684,353508,360924,354452,387060,402306,367528,390592,364714,376430,391594,380586,395808,355904,353994,352114,383546,400728,387788,385844,361778,375288,384882,374200,386464,343368,347614,346330
    Domestic,AEROBMDA Index,PR005,PX_LAST,Dynamic,,,368388,362910,349292,363440,379868,363492,376892,334066,342222,357666,372284,407108,388060,381670,366962,382244,403764,402982,415274,353248,346468,390574,410554,434386,394386,391248,396246,384866,367420,345988,354818,273442,277142,278054,269620,308138,280788,278522,267628,252836,175068,85032,228906,303900,304656,316880,313090,348080,320278,330448,313026,309024,332332,325482,328314,297578,302046,297112,326598,347322,315776,335052,307720,316182,330942,320610,329128,300924,297162,295048,325046,345830,335710,330508,304052,315106,324304,313664,322960,289696,291776,289872
    International,AEROBMIA Index,PR005,PX_LAST,Dynamic,,,56518,59326,64170,64662,66938,68990,73644,62080,67924,69660,65168,60220,57866,61890,65830,67962,69278,73034,77390,62742,60684,68484,66788,61852,54768,56890,59842,53718,54142,56476,56364,40420,48714,50860,41876,38726,35234,39504,39590,27878,17858,12710,49394,55668,58746,58696,55476,53800,53084,53590,57052,60450,60384,63632,66370,55930,58878,57340,60462,54984,51752,55540,56994,60248,60652,59976,66680,54980,56832,57066,58500,54898,52078,55336,57726,60182,60578,60536,63504,53672,55838,56458
Overall Trends (Flights - actual),AER1BTAT Index,PR005,PX_LAST,Dynamic,,,,,,,,,,,,5369454,,,,,,,,,,,,5099528,,,,,,,,,,,,3501192,,,,,,,,,,,,4533920,,,,,,,,,,,,4520968,,,,,,,,,,,,4483614,,,,,,,,,,,,4349740
Source: FAA,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
