,Arms Category,Year,Value
537,Sensors,1994,1338.0
538,Ships,1994,5075.0
539,Total,1994,22916.0
540,Aircraft,1995,9195.0
541,Air defence systems,1995,621.0
542,Armoured vehicles,1995,3682.0
543,Artillery,1995,468.0
544,Engines,1995,612.0
545,Missiles,1995,2821.0
546,Naval weapons,1995,193.0
547,Other,1995,187.0
548,Satellites,1995,0.0
549,Sensors,1995,1281.0
550,Ships,1995,3795.0
551,Total,1995,22855.0
552,Aircraft,1996,8698.0
553,Air defence systems,1996,724.0
554,Armoured vehicles,1996,3777.0
555,Artillery,1996,558.0
556,Engines,1996,645.0
557,Missiles,1996,2914.0
558,Naval weapons,1996,293.0
559,Other,1996,255.0
560,Satellites,1996,0.0
561,Sensors,1996,1174.0
562,Ships,1996,4666.0
563,Total,1996,23705.0
564,Aircraft,1997,14238.0
565,Air defence systems,1997,754.0
566,Armoured vehicles,1997,3556.0
567,Artillery,1997,605.0
568,Engines,1997,545.0
569,Missiles,1997,2792.0
570,Naval weapons,1997,164.0
571,Other,1997,228.0
572,Satellites,1997,0.0
573,Sensors,1997,980.0
574,Ships,1997,4953.0
575,Total,1997,28815.0
576,Aircraft,1998,14537.0
577,Air defence systems,1998,773.0
578,Armoured vehicles,1998,2736.0
579,Artillery,1998,420.0
580,Engines,1998,510.0
581,Missiles,1998,3851.0
582,Naval weapons,1998,229.0
583,Other,1998,155.0
584,Satellites,1998,0.0
585,Sensors,1998,1155.0
586,Ships,1998,3346.0
587,Total,1998,27712.0
588,Aircraft,1999,11280.0
589,Air defence systems,1999,951.0
590,Armoured vehicles,1999,2977.0
591,Artillery,1999,345.0
592,Engines,1999,565.0
593,Missiles,1999,2982.0
594,Naval weapons,1999,140.0
595,Other,1999,315.0
596,Satellites,1999,0.0
597,Sensors,1999,1015.0
598,Ships,1999,4528.0
599,Total,1999,25097.0
600,Aircraft,2000,8280.0
601,Air defence systems,2000,826.0
602,Armoured vehicles,2000,2066.0
603,Artillery,2000,333.0
604,Engines,2000,542.0
605,Missiles,2000,2499.0
606,Naval weapons,2000,159.0
607,Other,2000,321.0
608,Satellites,2000,0.0
609,Sensors,2000,939.0
610,Ships,2000,3338.0
611,Total,2000,19303.0
612,Aircraft,2001,9301.0
613,Air defence systems,2001,701.0
614,Armoured vehicles,2001,1735.0
615,Artillery,2001,137.0
616,Engines,2001,525.0
617,Missiles,2001,2047.0
618,Naval weapons,2001,77.0
619,Other,2001,185.0
620,Satellites,2001,0.0
621,Sensors,2001,1127.0
622,Ships,2001,2854.0
623,Total,2001,18689.0
624,Aircraft,2002,8119.0
625,Air defence systems,2002,703.0
626,Armoured vehicles,2002,2066.0
627,Artillery,2002,197.0
628,Engines,2002,531.0
629,Missiles,2002,2276.0
630,Naval weapons,2002,158.0
631,Other,2002,137.0
632,Satellites,2002,0.0
633,Sensors,2002,1133.0
634,Ships,2002,2362.0
635,Total,2002,17681.0
636,Aircraft,2003,9133.0
637,Air defence systems,2003,510.0
638,Armoured vehicles,2003,2057.0
639,Artillery,2003,180.0
640,Engines,2003,647.0
641,Missiles,2003,1973.0
642,Naval weapons,2003,265.0
643,Other,2003,196.0
644,Satellites,2003,0.0
645,Sensors,2003,1118.0
646,Ships,2003,2884.0
